steering_wheel_angle,,等效转角,,
-282.20 ,-0.277017667,-15.87194318,,14.47384656
-281.62 ,-0.276523352,-15.84362101,,14.47543036
-281.03 ,-0.27602869,-15.81527895,,14.47700605
-280.45 ,-0.27553383,-15.78692558,,14.47857985
-279.87 ,-0.275038921,-15.75856938,,14.48014605
-279.29 ,-0.2745437,-15.73019532,,14.48171374
-278.71 ,-0.274048316,-15.70181189,,14.48326969
-278.13 ,-0.273552644,-15.67341199,,14.48482769
-277.55 ,-0.273056967,-15.64501176,,14.4863773
-276.97 ,-0.272561025,-15.61659637,,14.48792483
-276.39 ,-0.27206483,-15.58816653,,14.48946799
-275.81 ,-0.271568396,-15.55972294,,14.49100901
-275.23 ,-0.271071867,-15.53127391,,14.49253794
-274.65 ,-0.270575121,-15.50281247,,14.49407231
-274.07 ,-0.270078171,-15.47433931,,14.4955945
-273.49 ,-0.269581028,-15.44585512,,14.49711795
-272.91 ,-0.269083573,-15.41735308,,14.49863325
-272.33 ,-0.268586081,-15.38884889,,14.50014977
-271.74 ,-0.268088302,-15.36032825,,14.50165388
-271.16 ,-0.267590249,-15.33179192,,14.50315976
-270.58 ,-0.267092064,-15.30324802,,14.50466029
-270.00 ,-0.26659363,-15.27468986,,14.50615477
-269.42 ,-0.266095088,-15.24612551,,14.50764801
-268.84 ,-0.265596194,-15.21754099,,14.50913511
-268.26 ,-0.265097217,-15.18895169,,14.5106167
-267.68 ,-0.26459804,-15.16035098,,14.5120963
-267.10 ,-0.264098551,-15.13173236,,14.5135703
-266.52 ,-0.263598889,-15.10310382,,14.51504225
-265.94 ,-0.263098941,-15.07445889,,14.51650426
-265.36 ,-0.262598845,-15.04580551,,14.51797209
-264.78 ,-0.262098613,-15.01714437,,14.51942623
-264.20 ,-0.261598011,-14.98846197,,14.52088186
-263.62 ,-0.2610973,-14.95977331,,14.52233166
-263.03 ,-0.260596368,-14.93107202,,14.52377922
-262.45 ,-0.260095106,-14.90235185,,14.52522088
-261.87 ,-0.259593773,-14.8736276,,14.52666395
-261.29 ,-0.259092138,-14.84488603,,14.52809298
-260.71 ,-0.258590215,-14.81612795,,14.52952336
-260.13 ,-0.258088139,-14.78736109,,14.53094827
-259.55 ,-0.257585922,-14.75858618,,14.5323739
-258.97 ,-0.257083338,-14.72979025,,14.53378584
-258.39 ,-0.256580641,-14.70098782,,14.53519843
-257.81 ,-0.256077605,-14.67216601,,14.5366092
-257.23 ,-0.255574365,-14.64333247,,14.53801297
-256.65 ,-0.255070934,-14.61448799,,14.53941486
-256.07 ,-0.254567325,-14.58563333,,14.54081349
-255.49 ,-0.254063319,-14.55675588,,14.5422019
-254.91 ,-0.25355928,-14.52787659,,14.54359527
-254.33 ,-0.253054873,-14.49897619,,14.54497833
-253.74 ,-0.252550229,-14.47006223,,14.54636245
-253.16 ,-0.252045363,-14.44113553,,14.54774005
-252.58 ,-0.251540289,-14.41219692,,14.54911028
-252.00 ,-0.251035021,-14.38324721,,14.55048228
-251.42 ,-0.25052946,-14.35428071,,14.55184685
-250.84 ,-0.250023622,-14.3252983,,14.55320469
-250.26 ,-0.249517634,-14.29630732,,14.55456346
-249.68 ,-0.249011285,-14.26729568,,14.55591543
-249.10 ,-0.248504816,-14.23827717,,14.55726828
-248.52 ,-0.247998018,-14.20923978,,14.55861427
-247.94 ,-0.247491018,-14.18019082,,14.55996109
-247.36 ,-0.24698372,-14.15112478,,14.56129239
-246.78 ,-0.24647614,-14.1220426,,14.56263304
-246.20 ,-0.245968404,-14.09295147,,14.56396208
-245.62 ,-0.245460418,-14.06384596,,14.56529185
-245.03 ,-0.244952086,-14.03472074,,14.56661045
-244.45 ,-0.244443537,-14.00558297,,14.56793378
-243.87 ,-0.243934783,-13.97643357,,14.56924585
-243.29 ,-0.243425735,-13.94726723,,14.57056261
-242.71 ,-0.242916407,-13.91808492,,14.5718721
-242.13 ,-0.242406924,-13.88889369,,14.57318219
-241.55 ,-0.241897088,-13.85968222,,14.57447611
-240.97 ,-0.241387022,-13.83045759,,14.57577937
-240.39 ,-0.240876637,-13.80121468,,14.57707047
-239.81 ,-0.240366055,-13.77196049,,14.57836206
-239.23 ,-0.239855292,-13.74269594,,14.57964609
-238.65 ,-0.239344156,-13.71341001,,14.58093531
-238.07 ,-0.238832769,-13.68410967,,14.58221215
